update,mean_reward,success_rate,mean_episode_length,river_fall_rate,policy_loss,value_loss,entropy,maze_size
81,136.28501892089844,0.85,48.17,0.03,0.010470816239831038,280.79572677612305,1.0739506632089615,10
82,133.31301879882812,0.84,46.69,0.04,0.010296970256604254,334.8149108886719,1.1087334752082825,10
83,129.62301635742188,0.82,46.42,0.04,0.00817234069108963,276.09817028045654,1.1101156324148178,10
84,132.6640167236328,0.83,47.3,0.02,0.0012827112805098295,203.87807369232178,1.1323181837797165,10
85,136.20001220703125,0.82,49.5,0.01,0.002308241557329893,373.6433210372925,1.1246713697910309,10
86,135.65403747558594,0.81,50.58,0.03,0.0007433178543578833,465.31683921813965,1.1344040930271149,10
87,125.73202514648438,0.77,51.3,0.07,0.0018058368004858494,808.3580131530762,1.0992418974637985,10
88,122.56703186035156,0.76,49.52,0.09,0.012875152751803398,587.5562210083008,1.062345951795578,10
89,131.66702270507812,0.81,47.03,0.05,0.011504189460538328,347.61873626708984,1.0230462923645973,10
90,140.85301208496094,0.85,44.03,0.01,0.008023181930184364,199.97975158691406,1.0282298997044563,10
91,138.4240264892578,0.84,43.32,0.02,0.007383525371551514,250.78381538391113,1.0470944046974182,10
92,136.04002380371094,0.83,44.76,0.03,0.007634447189047933,447.2377700805664,1.0530853271484375,10
93,133.06802368164062,0.8,47.92,0.04,0.026985979173332453,447.2530975341797,1.0247368514537811,10
94,137.25001525878906,0.82,44.4,0.03,0.00852314312942326,298.5430793762207,0.994253896176815,10
95,129.23501586914062,0.78,46.06,0.04,0.007498773746192455,421.122350692749,1.0103222727775574,10
96,130.8140106201172,0.8,45.9,0.04,0.015497317537665367,525.5576133728027,0.9951334670186043,10
97,133.5550079345703,0.8,46.78,0.03,0.015397469978779554,357.6740665435791,0.9372475072741508,10
98,132.74501037597656,0.81,43.39,0.04,0.01789463870227337,450.9639415740967,0.9457782432436943,10
99,134.00100708007812,0.81,43.16,0.02,0.021576362196356058,319.8491497039795,0.951509140431881,10
100,132.5360107421875,0.79,44.97,0.0,0.013020344369579107,386.87966537475586,0.9688192158937454,10
101,122.5240249633789,0.73,47.1,0.02,0.003457886865362525,558.1857948303223,0.9406539499759674,10
102,127.63002014160156,0.78,45.34,0.02,0.00952989049255848,205.7380771636963,0.9340542554855347,10
103,131.61402893066406,0.8,45.06,0.01,-0.0029573424835689366,188.83103466033936,0.9167879596352577,10
104,129.62901306152344,0.81,42.38,0.02,0.026384761062217876,363.6473217010498,0.9503682628273964,10
105,132.52401733398438,0.81,44.59,0.02,0.018397647625533864,379.0206232070923,0.9653593301773071,10
106,130.81202697753906,0.78,47.09,0.03,0.027888254626304843,552.080997467041,0.9691072478890419,10
107,129.61599731445312,0.76,49.55,0.03,0.0025154929608106613,279.77656841278076,0.9956893175840378,10
108,126.70401000976562,0.75,51.23,0.03,0.005637010559439659,350.6917190551758,0.9348173588514328,10
109,128.2040252685547,0.75,52.93,0.01,0.012945304973982275,236.89204597473145,0.9652848243713379,10
